ItemCode_1,ItemName_1,ItemCode_2,ItemName_2,"count(DocNo )"
2503102000,"ข้องอบางฟ้า 90 PVC 2 (70/ล.)",2505400401,สามทางเกลียวใน ทองเหลือง 1/2 (55/ล.),1
2503104000,"ข้องอบางฟ้า 90 PVC 4 (20/ล.)",2505400401,สามทางเกลียวใน ทองเหลือง 1/2 (55/ล.),1
2503000600,ข้องอหนาฟ้า PVC 3/4 (125/ล.),2505400401,สามทางเกลียวใน ทองเหลือง 1/2 (55/ล.),1
2503001000,"ข้องอหนาฟ้า PVC 1 (60/ล.)"",2505400401,สามทางเกลียวใน ทองเหลือง 1/2 (55/ล.),1
2505300598,ข้องอเกลียวใน ทองเหลือง 1/2 (100/ล.),2505400401,สามทางเกลียวใน ทองเหลือง 1/2 (55/ล.),1
0001842017,"สี่เหลี่ยมโปร่ง 4 x 2 ชมพู-เหลือง (17+/-)(95x45มม.)",0001852003,"สี่เหลี่ยมโปร่ง 5 x 2 เหลือง (1.7)",1
0600524610,"ตป.เกลียวไม้ฝาปลายสว่านมีปีก#7X32 โปรฟาส หัวจม(250/กล่อง)",0600524619A,"ตป.เกลียวปลายสว่าน#8x1/2”(หัวบัททอน) โปรฟาส(500ตัว/กล่อง)",1
2301605015,"แปรงทาสีมีเชือก 1-1/2(อัน)"",2934190912,สีสเปรย์ KOBE #0912 ดำด้าน กป.,1
2301604010,"แปรงทาสีด้ามขาว 1 (อัน)"",2934190912,สีสเปรย์ KOBE #0912 ดำด้าน กป.,1
2301604015,"แปรงทาสีด้ามขาว 1-1/2 (อัน)"",2934190912,สีสเปรย์ KOBE #0912 ดำด้าน กป.,1
0001703001,สี่เหลี่ยมโปร่ง 3 แดง (25/มัด),0001950123,"สี่เหลี่ยมโปร่งกัลวาไนซ์ 1-1/4 ม่วง-ทอง (1มม.)"",1
0001950103,"สี่เหลี่ยมโปร่งกัลวาไนซ์ 1 ม่วงทอง (1.2มม.)"",0001950123,"สี่เหลี่ยมโปร่งกัลวาไนซ์ 1-1/4 ม่วง-ทอง (1มม.)"",1
0001703001,สี่เหลี่ยมโปร่ง 3 แดง (25/มัด),0001950103,"สี่เหลี่ยมโปร่งกัลวาไนซ์ 1 ม่วงทอง (1.2มม.)"",1
0001700608,สี่เหลี่ยมโปร่ง 3/4 ม่วง(19x19มม.),0001950124,"สี่เหลี่ยมโปร่งกัลวาไนซ์ 1-1/4 น้ำเงิน-แดง (1.5)"",1
0001703001,สี่เหลี่ยมโปร่ง 3 แดง (25/มัด),0001831403,"สี่เหลี่ยมโปร่ง 3 x 1-1/2 เขียว-เหลือง(14.5+/-)(72x32มม.)",1
0001705103,"สี่เหลี่ยมโปร่ง 5 แดง ( 2.5 มิล)",0001831403,"สี่เหลี่ยมโปร่ง 3 x 1-1/2 เขียว-เหลือง(14.5+/-)(72x32มม.)",1
0001704494,"สี่เหลี่ยมโปร่ง 4 ขาว ( 2.3 ขาว มอก.)",0001831403,"สี่เหลี่ยมโปร่ง 3 x 1-1/2 เขียว-เหลือง(14.5+/-)(72x32มม.)",1
0001831401,"สี่เหลี่ยมโปร่ง 3 x 1-1/2 น้ำเงิน-เหลือง",0001950060,"สี่เหลี่ยมโปร่งกัลวาไนซ์ 3/4 ม่วง (1.2)",1
